,min_loss_val,max_acc_val,h_layers,heights,lr,batch_size,keep_rates,reshuff,max_strikes,max_consec,epochs_min_loss_val,total_sec
1.49991e+18,0.589302044,0.7878,5,"contracting, (100 => 70)",0.01,512,"range: (0.9, 1)",True,2,2,2,24.65
3.92666e+17,1.109068848,0.5522,8,"flat, (220 => 220)",0.0003,6937,"range: (0.5490404831286315, 1)",False,2,2,7,74.63
6.28598e+17,0.338103388,0.8812,1,"contracting, (734 => 504)",0.0003,1344,"range: (0.9137983689616955, 1)",True,2,2,23,151.82
2.30303e+18,0.336717809,0.8804,7,"flat, (595 => 595)",0.0003,5192,"range: (0.8731878486211571, 1)",False,2,2,16,346.05
1.58748e+18,1.334863118,0.5664,8,"flat, (184 => 184)",0.0003,2206,"range: (0.507294820245198, 1)",False,2,2,2,35.33
2.27538e+18,0.362762044,0.8692,5,"flat, (361 => 361)",0.0003,1764,"range: (0.8371940315460185, 1)",False,2,2,11,123.25
7.5939e+17,0.526854435,0.8125,6,"contracting, (630 => 423)",0.0003,8315,"range: (0.713306727299954, 1)",False,2,2,8,149.52
2.14176e+17,0.443589628,0.842,9,"contracting, (903 => 823)",0.0003,2440,"range: (0.7091492568724138, 1)",True,2,2,8,412.96
1.30076e+18,0.381524787,0.8649,2,"expanding, (624 => 617)",0.0003,4569,"range: (0.9076007972881606, 1)",True,2,2,12,100.72
1.5801e+18,0.365448487,0.8706,2,"contracting, (457 => 370)",0.0003,3366,"range: (0.7964142482338132, 1)",False,2,2,20,134.38
1.67239e+18,0.618009114,0.7671,7,"expanding, (944 => 532)",0.0003,6961,"range: (0.6442353114056021, 1)",False,2,2,6,221.6
6.03543e+17,0.454081142,0.8391,3,"expanding, (857 => 606)",0.0003,7065,"range: (0.662246147073855, 1)",True,2,2,8,105.33
1.41979e+18,0.369100217,0.8668,4,"contracting, (642 => 516)",0.0003,4172,"range: (0.6102472173828725, 1)",False,2,2,17,225.47
4.86989e+17,0.393144867,0.856,4,"flat, (254 => 254)",0.0003,3038,"range: (0.9321465977143959, 1)",False,2,2,12,81.89
1.69966e+18,0.362070709,0.8721,1,"expanding, (503 => 503)",0.0003,696,"range: (0.717002367066579, 1)",True,2,2,13,80.52
1.1064e+18,0.361660495,0.8699,4,"expanding, (582 => 886)",0.0003,5124,"range: (0.9586053485187362, 1)",False,2,2,9,148.65
1.20223e+18,0.312762689,0.8875,7,"expanding, (735 => 1369)",0.000859963,6177,"range: (0.9463854634367641, 1)",True,2,2,17,812.41
2.19947e+18,0.322661623,0.8877,13,"flat, (748 => 748)",0.000652361,1485,"range: (0.9522353592958228, 1)",False,2,2,11,631.48
1.1647e+18,0.324211257,0.8896,6,"contracting, (883 => 1277)",0.000286484,3216,"range: (0.9801554674727629, 1)",False,2,2,8,473.56
1.5698662111168036e+18,0.3471015176600644,0.8728,5,"expanding, (779 => 1027)",0.0008782975051384,2567,"range: (0.743697755047109, 1)",True,2,2,8,228.43
2.0103030814131763e+18,0.8755560496234228,0.6422,12,"contracting, (545 => 303.93009374166417)",0.0006486594957805,9074,"range: (0.9986011833332963, 1)",True,2,2,4,105.49
1.506822413403385e+18,0.3535735656664479,0.8717,7,"contracting, (1152 => 965)",0.0003866603128175,7891,"range: (0.9880689767730996, 1)",True,2,2,8,373.7
1.5530612753978775e+18,0.2968200487947502,0.8948,3,"flat, (1868 => 1868)",0.0007274044711758,1680,"range: (0.9355129444418089, 1)",True,2,2,9,411.99
5.859561363735475e+17,0.3171616547500582,0.8893,2,"flat, (2217 => 2217)",0.0009584088499527,8384,"range: (0.9574205412071565, 1)",False,2,2,19,602.75
3.615100790165664e+17,0.3379321190428014,0.8763,10,"expanding, (618 => 1188)",0.0001006317610238,4759,"range: (0.9635786453953502, 1)",False,2,2,11,650.53
4.21054131218776e+17,0.3853436485140284,0.863,7,"flat, (574 => 574)",0.0001330936223193,7345,"range: (0.9064493101044626, 1)",True,2,2,18,342.47
1.374312570558713e+18,0.4457747523864153,0.8446,14,"flat, (2215 => 2215)",0.0006676007734937,247,"range: (0.9061539814371925, 1)",True,2,2,7,3468.31
2.262303999673864e+18,0.3245076711066099,0.8836,8,"expanding, (378 => 450)",0.0006494429001864,3254,"range: (0.9231722678900629, 1)",True,2,2,16,269.89
1.7148588243455597e+17,0.3360044196840236,0.8835,13,"contracting, (568 => 527)",0.0003260788580849,5785,"range: (0.9819722346196688, 1)",False,2,2,17,531.47
2.11212445521501e+18,0.3585857228636778,0.8711,3,"expanding, (282 => 394)",0.0005943426726623,5203,"range: (0.9941125678126558, 1)",False,2,2,15,99.49
2.2484501531638892e+18,0.3666620855693409,0.8641,11,"expanding, (1272 => 1706)",0.0006506226404174016,9990,"range: (0.9715114110487995, 1)",False,2,2,21,2434.95
